NLC2,2016 December 04 ,https://coinmarketcap.com/currencies/nolimitcoin/
CLO,2018 August 05 ,https://coinmarketcap.com/currencies/callisto-network/
APX,2017 August 06 ,https://coinmarketcap.com/currencies/apx/
VTY,2016 December 04 ,https://coinmarketcap.com/currencies/victoriouscoin/
CPC,2015 August 02 ,https://coinmarketcap.com/currencies/capricoin/
VC,2014 August 10 ,https://coinmarketcap.com/currencies/virtualcoin/
BCT,2014 December 07 ,https://coinmarketcap.com/currencies/bct-coin/
MRK,2018 April 29 ,https://coinmarketcap.com/currencies/mark-space/
DTF,2016 December 04 ,https://coinmarketcap.com/currencies/digitalfund/
ZOI,2016 December 04 ,https://coinmarketcap.com/currencies/zoin/
IQT,2017 December 03 ,https://coinmarketcap.com/currencies/iquant/
CHEESE,2018 December 02 ,https://coinmarketcap.com/currencies/cheesecoin/
SNX,2018 April 01 ,https://coinmarketcap.com/currencies/synthetix-network-token/
EAGLE,2017 December 03 ,https://coinmarketcap.com/currencies/eaglecoin/
VIK,2014 December 07 ,https://coinmarketcap.com/currencies/viking-coin/
HOLD,2017 December 03 ,https://coinmarketcap.com/currencies/interstellar-holdings/
MOF,2018 April 01 ,https://coinmarketcap.com/currencies/molecular-future/
OMA,2015 April 12 ,https://coinmarketcap.com/currencies/omega/
KASHH,2017 April 02 ,https://coinmarketcap.com/currencies/kashhcoin/
NAMO,2017 August 27 ,https://coinmarketcap.com/currencies/namocoin/
SPD,2018 April 01 ,https://coinmarketcap.com/currencies/stipend/
CVH,2018 April 22 ,https://coinmarketcap.com/currencies/curriculum-vitae/
KLKS,2018 August 05 ,https://coinmarketcap.com/currencies/kalkulus/
XPY,2014 December 21 ,https://coinmarketcap.com/currencies/paycoin2/
HKC,2014 April 06 ,https://coinmarketcap.com/currencies/hongketocoin/
SAK,2015 April 05 ,https://coinmarketcap.com/currencies/sharkcoin/
XPD,2014 April 20 ,https://coinmarketcap.com/currencies/petrodollar/
PIGGY,2014 August 03 ,https://coinmarketcap.com/currencies/piggycoin/
AZART,2018 December 02 ,https://coinmarketcap.com/currencies/azart/
MFT,2018 August 05 ,https://coinmarketcap.com/currencies/mainframe/
OBT,2018 August 26 ,https://coinmarketcap.com/currencies/orbis-token/
RPT,2017 March 26 ,https://coinmarketcap.com/currencies/realpointcoin/
GOOD,2014 August 03 ,https://coinmarketcap.com/currencies/goodcoin/
NPC,2016 June 05 ,https://coinmarketcap.com/currencies/npccoin/
TAK,2014 April 06 ,https://coinmarketcap.com/currencies/takcoin/
BLITZMM,2016 April 10 ,https://coinmarketcap.com/currencies/blitzmm/
INS,2018 April 01 ,https://coinmarketcap.com/currencies/insolar/
HADE,2018 June 03 ,https://coinmarketcap.com/currencies/hade-platform/
JLH,2014 August 03 ,https://coinmarketcap.com/currencies/jl777hodl/
EXY,2018 April 01 ,https://coinmarketcap.com/currencies/experty/
LOC,2017 December 24 ,https://coinmarketcap.com/currencies/lockchain/
OFF,2015 August 02 ,https://coinmarketcap.com/currencies/cthulhu-offerings/
INCNT,2016 December 18 ,https://coinmarketcap.com/currencies/incent/
CAP,2013 August 04 ,https://coinmarketcap.com/currencies/bottlecaps/
GHC,2014 April 06 ,https://coinmarketcap.com/currencies/ghostcoin/
RAREPEPEP,2016 November 06 ,https://coinmarketcap.com/currencies/rare-pepe-party/
SENSE,2018 April 01 ,https://coinmarketcap.com/currencies/sense/
FRRN,2018 August 12 ,https://coinmarketcap.com/currencies/ferron/
HQT,2018 December 02 ,https://coinmarketcap.com/currencies/hyperquant/
BCZERO,2018 December 02 ,https://coinmarketcap.com/currencies/buggyra-coin-zero/
WILD,2017 December 03 ,https://coinmarketcap.com/currencies/wild-crypto/
CETI,2015 April 19 ,https://coinmarketcap.com/currencies/cetuscoin/
UNITY,2014 December 07 ,https://coinmarketcap.com/currencies/supernet-unity/
GSE,2018 August 12 ,https://coinmarketcap.com/currencies/gsenetwork/
CDN,2014 August 03 ,https://coinmarketcap.com/currencies/canada-ecoin/
HZ,2014 August 03 ,https://coinmarketcap.com/currencies/next-horizon/
SPRKL,2019 March 10 ,https://coinmarketcap.com/currencies/sparkle/
SPANK,2017 December 03 ,https://coinmarketcap.com/currencies/spankchain/
XIN,2017 April 02 ,https://coinmarketcap.com/currencies/icoin-xin/
AMLT,2018 April 01 ,https://coinmarketcap.com/currencies/amlt/
FKX,2018 December 02 ,https://coinmarketcap.com/currencies/knoxstertoken/
SSP,2018 August 05 ,https://coinmarketcap.com/currencies/smartshare/
WICC,2018 April 01 ,https://coinmarketcap.com/currencies/waykichain/
EVO,2015 December 13 ,https://coinmarketcap.com/currencies/evotion/
XSPEC,2017 April 02 ,https://coinmarketcap.com/currencies/spectrecoin/
GMBC,2019 February 03 ,https://coinmarketcap.com/currencies/gamblica/
VOXP,2014 December 07 ,https://coinmarketcap.com/currencies/voxpopuli/
ABX,2018 August 19 ,https://coinmarketcap.com/currencies/arbidex/
PGL,2017 December 03 ,https://coinmarketcap.com/currencies/prospectors-gold/
UIP,2018 April 01 ,https://coinmarketcap.com/currencies/unlimitedip/
CARD,2018 August 05 ,https://coinmarketcap.com/currencies/cardstack/
ATMOS,2017 April 23 ,https://coinmarketcap.com/currencies/atmos/
YC,2014 April 27 ,https://coinmarketcap.com/currencies/yellowcoin/
GLB,2014 April 06 ,https://coinmarketcap.com/currencies/globe/
JET,2017 August 06 ,https://coinmarketcap.com/currencies/jetcoin/
VOLT,2014 February 16 ,https://coinmarketcap.com/currencies/electric/
RC,2016 April 03 ,https://coinmarketcap.com/currencies/russiacoin/
TKT,2018 August 19 ,https://coinmarketcap.com/currencies/twinkle/
ZBA,2018 December 02 ,https://coinmarketcap.com/currencies/zoomba/
CTC,2016 October 02 ,https://coinmarketcap.com/currencies/cartercoin/
GENI,2015 August 02 ,https://coinmarketcap.com/currencies/geniuscoin/
OX,2017 August 27 ,https://coinmarketcap.com/currencies/ox-fina/
DSR,2017 December 03 ,https://coinmarketcap.com/currencies/desire/
HYP,2014 August 10 ,https://coinmarketcap.com/currencies/hyperstake/
SNT,2017 August 06 ,https://coinmarketcap.com/currencies/status/
OBTC,2018 August 12 ,https://coinmarketcap.com/currencies/obitan-chain/
BLN,2017 August 20 ,https://coinmarketcap.com/currencies/bolenum/
GRN,2014 August 03 ,https://coinmarketcap.com/currencies/granitecoin/
CDM,2018 August 05 ,https://coinmarketcap.com/currencies/cdmcoin/
BIXC,2017 November 12 ,https://coinmarketcap.com/currencies/bixc/
METM,2018 August 19 ,https://coinmarketcap.com/currencies/metamorph/
ELC,2013 August 04 ,https://coinmarketcap.com/currencies/elacoin/
BITF,2018 August 26 ,https://coinmarketcap.com/currencies/bitf/
LTK,2019 March 24 ,https://coinmarketcap.com/currencies/litecoin-token/
LML,2018 December 16 ,https://coinmarketcap.com/currencies/lisk-machine-learning/
BRAIN,2016 April 24 ,https://coinmarketcap.com/currencies/braincoin/
BUN,2014 December 07 ,https://coinmarketcap.com/currencies/bunnycoin/
DAN,2018 April 22 ,https://coinmarketcap.com/currencies/daneel/
SPND,2018 December 02 ,https://coinmarketcap.com/currencies/spendcoin/
EUROPA,2014 July 13 ,https://coinmarketcap.com/currencies/europacoin/
DSH,2014 December 07 ,https://coinmarketcap.com/currencies/dashcoin/
WYS,2018 August 05 ,https://coinmarketcap.com/currencies/wys-token/
INCO,2018 December 02 ,https://coinmarketcap.com/currencies/incodium/
SLG,2014 December 07 ,https://coinmarketcap.com/currencies/sterlingcoin/
IOG,2018 December 02 ,https://coinmarketcap.com/currencies/playgroundz/
WIT,2018 December 02 ,https://coinmarketcap.com/currencies/witchain/
POLIS,2018 April 01 ,https://coinmarketcap.com/currencies/polis/
LIT,2014 August 03 ,https://coinmarketcap.com/currencies/lightcoin/
QTZ,2015 August 02 ,https://coinmarketcap.com/currencies/quartz/
FBC,2017 August 06 ,https://coinmarketcap.com/currencies/fibocoins/
SBIT,2015 February 01 ,https://coinmarketcap.com/currencies/squarebit/
DAT,2017 December 17 ,https://coinmarketcap.com/currencies/datum/
SWM,2018 April 01 ,https://coinmarketcap.com/currencies/swarm-fund/
FACE,2018 August 05 ,https://coinmarketcap.com/currencies/faceter/
STY,2014 June 01 ,https://coinmarketcap.com/currencies/stories/
RBMC,2018 August 26 ,https://coinmarketcap.com/currencies/rubex-money/
DARK,2014 December 07 ,https://coinmarketcap.com/currencies/fudcoin/
PXG,2018 December 23 ,https://coinmarketcap.com/currencies/playgame/
LOCI,2018 April 01 ,https://coinmarketcap.com/currencies/locicoin/
EDS,2018 August 05 ,https://coinmarketcap.com/currencies/endorsit/
EGAS,2017 December 03 ,https://coinmarketcap.com/currencies/ethgas/
SPRTS,2015 August 02 ,https://coinmarketcap.com/currencies/sprouts/
STCN,2017 August 13 ,https://coinmarketcap.com/currencies/stakecoin-stcn/
SNC,2017 August 06 ,https://coinmarketcap.com/currencies/suncontract/
COE,2017 August 06 ,https://coinmarketcap.com/currencies/coeval/
FUZZ,2016 August 07 ,https://coinmarketcap.com/currencies/fuzzballs/
VET,2018 August 05 ,https://coinmarketcap.com/currencies/vechain/
MEET,2018 April 01 ,https://coinmarketcap.com/currencies/coinmeet/
DGCS,2015 December 06 ,https://coinmarketcap.com/currencies/digital-credits/
SGP,2018 August 19 ,https://coinmarketcap.com/currencies/sgpay/
MER,2017 April 02 ,https://coinmarketcap.com/currencies/mercury/
PNK,2018 December 02 ,https://coinmarketcap.com/currencies/kleros/
FOTA,2018 April 01 ,https://coinmarketcap.com/currencies/fortuna/
DRGN,2017 December 03 ,https://coinmarketcap.com/currencies/dragonchain/
BTCRED,2017 December 03 ,https://coinmarketcap.com/currencies/bitcoin-red/
OROX,2019 March 24 ,https://coinmarketcap.com/currencies/cointorox/
ASN,2015 April 05 ,https://coinmarketcap.com/currencies/ascension/
ALF,2013 August 04 ,https://coinmarketcap.com/currencies/alphacoin/
MUG,2017 April 02 ,https://coinmarketcap.com/currencies/mikethemug/
INO,2018 August 12 ,https://coinmarketcap.com/currencies/ino-coin/
DWS,2018 August 05 ,https://coinmarketcap.com/currencies/dws/
PARA,2015 December 06 ,https://coinmarketcap.com/currencies/paranoiacoin/
NEOG,2017 December 03 ,https://coinmarketcap.com/currencies/neo-gold/
DXT,2018 April 01 ,https://coinmarketcap.com/currencies/datawallet/
LBA,2018 August 05 ,https://coinmarketcap.com/currencies/libra-credit/
CRBT,2018 December 02 ,https://coinmarketcap.com/currencies/cruisebit/
ALI,2014 December 07 ,https://coinmarketcap.com/currencies/alipaycoin/
WIB,2019 February 03 ,https://coinmarketcap.com/currencies/wibson/
TKA,2018 August 05 ,https://coinmarketcap.com/currencies/tokia/
LCC,2018 April 01 ,https://coinmarketcap.com/currencies/litecoin-cash/
FUND,2015 December 06 ,https://coinmarketcap.com/currencies/cryptofund/
MUN,2014 April 13 ,https://coinmarketcap.com/currencies/muniti/
CLD,2018 April 01 ,https://coinmarketcap.com/currencies/cloud/
FXT,2018 August 05 ,https://coinmarketcap.com/currencies/fuzex/
ZEN,2017 August 06 ,https://coinmarketcap.com/currencies/zencash/
VEE,2017 December 03 ,https://coinmarketcap.com/currencies/blockv/
DTA,2018 April 01 ,https://coinmarketcap.com/currencies/data/
AX,2015 December 06 ,https://coinmarketcap.com/currencies/amerox/
MSR,2018 April 29 ,https://coinmarketcap.com/currencies/masari/
LTCX,2014 July 06 ,https://coinmarketcap.com/currencies/litecoinx/
BAY,2014 December 07 ,https://coinmarketcap.com/currencies/bitbay/
GEN,2018 August 05 ,https://coinmarketcap.com/currencies/daostack/
NCL,2016 November 06 ,https://coinmarketcap.com/currencies/nucleustokens/
THRT,2018 August 05 ,https://coinmarketcap.com/currencies/thrive-token/
UNO,2013 December 22 ,https://coinmarketcap.com/currencies/unobtanium/
ROX,2014 August 03 ,https://coinmarketcap.com/currencies/roxcoin/
ONX,2017 August 06 ,https://coinmarketcap.com/currencies/onix/
UROD,2014 December 07 ,https://coinmarketcap.com/currencies/urodarkcoin/
ECTE,2019 February 17 ,https://coinmarketcap.com/currencies/eurocoin-token/
DGC,2013 August 04 ,https://coinmarketcap.com/currencies/digitalcoin/
BITB,2015 April 05 ,https://coinmarketcap.com/currencies/bean-cash/
SMART,2017 August 06 ,https://coinmarketcap.com/currencies/smartcash/
FST,2013 August 04 ,https://coinmarketcap.com/currencies/fastcoin/
MBI,2017 August 13 ,https://coinmarketcap.com/currencies/monster-byte/
NSD,2018 August 26 ,https://coinmarketcap.com/currencies/nasdacoin/
SNTR,2018 August 05 ,https://coinmarketcap.com/currencies/silent-notary/
LMC,2016 December 04 ,https://coinmarketcap.com/currencies/lomocoin/
ACCI,2016 April 03 ,https://coinmarketcap.com/currencies/nxttyacci/
QAU,2017 August 06 ,https://coinmarketcap.com/currencies/quantum/
MERO,2018 August 19 ,https://coinmarketcap.com/currencies/mero/
TRX,2017 December 03 ,https://coinmarketcap.com/currencies/tron/
SMT,2017 December 17 ,https://coinmarketcap.com/currencies/smartmesh/
BTCD,2014 August 03 ,https://coinmarketcap.com/currencies/bitcoindark/
DBC,2017 December 31 ,https://coinmarketcap.com/currencies/deepbrain-chain/
CFD,2017 December 03 ,https://coinmarketcap.com/currencies/confido/
STS,2016 April 03 ,https://coinmarketcap.com/currencies/stress/
XCG,2018 December 02 ,https://coinmarketcap.com/currencies/xchange/
MAC,2015 April 05 ,https://coinmarketcap.com/currencies/machinecoin/
42,2014 April 06 ,https://coinmarketcap.com/currencies/42-coin/
TCR,2016 August 07 ,https://coinmarketcap.com/currencies/thecreed/
XUSD,2014 December 28 ,https://coinmarketcap.com/currencies/coinousd/
XLC,2017 August 06 ,https://coinmarketcap.com/currencies/leviar/
MTLMC3,2015 August 02 ,https://coinmarketcap.com/currencies/metal-music-coin/
LTCR,2016 April 03 ,https://coinmarketcap.com/currencies/litecred/
STEEP,2018 December 02 ,https://coinmarketcap.com/currencies/steepcoin/
DASHS,2017 April 30 ,https://coinmarketcap.com/currencies/dashs/
DRT,2017 December 03 ,https://coinmarketcap.com/currencies/domraider/
SKC,2014 April 06 ,https://coinmarketcap.com/currencies/skeincoin/
EDU,2014 April 06 ,https://coinmarketcap.com/currencies/educoin/
DPAY,2016 December 11 ,https://coinmarketcap.com/currencies/dpay/
DOUG,2014 April 06 ,https://coinmarketcap.com/currencies/dougcoin/
OPTI,2018 August 12 ,https://coinmarketcap.com/currencies/optitoken/
RPD,2014 February 16 ,https://coinmarketcap.com/currencies/rapidcoin/
DOT,2014 December 07 ,https://coinmarketcap.com/currencies/kimdotcoin/
FNX,2015 December 06 ,https://coinmarketcap.com/currencies/fantom-old/
XEMP,2015 November 01 ,https://coinmarketcap.com/currencies/empocredits/
EOT,2017 August 27 ,https://coinmarketcap.com/currencies/eot/
ESP,2016 August 07 ,https://coinmarketcap.com/currencies/espers/
JOT,2018 August 05 ,https://coinmarketcap.com/currencies/jury-online-token/
OCTO,2015 April 05 ,https://coinmarketcap.com/currencies/octo/
WAY,2016 December 04 ,https://coinmarketcap.com/currencies/wayguide/
MEME,2016 April 03 ,https://coinmarketcap.com/currencies/memetic/
BABCOIN,2016 October 09 ,https://coinmarketcap.com/currencies/babcoin/
INSN,2017 August 06 ,https://coinmarketcap.com/currencies/insanecoin-insn/
DUO,2015 December 06 ,https://coinmarketcap.com/currencies/parallelcoin/
BANCA,2018 April 01 ,https://coinmarketcap.com/currencies/banca/
HYTV,2017 December 03 ,https://coinmarketcap.com/currencies/hyper-tv/
YANG,2014 July 06 ,https://coinmarketcap.com/currencies/yangcoin/
MLS,2014 December 07 ,https://coinmarketcap.com/currencies/mozzshare/
LST,2018 April 01 ,https://coinmarketcap.com/currencies/lendroid-support-token/
SET,2018 August 12 ,https://coinmarketcap.com/currencies/swytch-energy-token/
EBCH,2017 December 03 ,https://coinmarketcap.com/currencies/ebitcoin-cash/
TCH,2018 August 12 ,https://coinmarketcap.com/currencies/thore-cash/
SEND,2017 December 10 ,https://coinmarketcap.com/currencies/social-send/
TNS,2018 August 05 ,https://coinmarketcap.com/currencies/transcodium/
300,2017 August 06 ,https://coinmarketcap.com/currencies/300-token/
LTC2NXT3,2014 December 21 ,https://coinmarketcap.com/currencies/ltc2nxt3/
HIRO,2014 April 06 ,https://coinmarketcap.com/currencies/hirocoin/
PC,2018 August 05 ,https://coinmarketcap.com/currencies/promotion-coin/
FOIN,2018 December 02 ,https://coinmarketcap.com/currencies/foin/
NXTSCO,2015 April 12 ,https://coinmarketcap.com/currencies/scotcoin-nxt/
RUST,2016 August 14 ,https://coinmarketcap.com/currencies/rust/
RADS,2016 April 03 ,https://coinmarketcap.com/currencies/radium/
MIOTA,2017 August 06 ,https://coinmarketcap.com/currencies/iota/
ROBET,2018 December 02 ,https://coinmarketcap.com/currencies/robet/
VSTR,2018 December 02 ,https://coinmarketcap.com/currencies/vestoria/
IVY,2018 August 05 ,https://coinmarketcap.com/currencies/ivy/
SEELE,2018 August 05 ,https://coinmarketcap.com/currencies/seele/
CRE,2018 August 05 ,https://coinmarketcap.com/currencies/cybereits/
VGINA,2017 April 30 ,https://coinmarketcap.com/currencies/vgina/
LGS,2018 August 19 ,https://coinmarketcap.com/currencies/logiscoin/
EQL,2018 April 01 ,https://coinmarketcap.com/currencies/equal/
NFD,2014 August 03 ,https://coinmarketcap.com/currencies/nfdcoin/
BLCR,2019 February 17 ,https://coinmarketcap.com/currencies/blacer-coin/
ISIS,2014 August 03 ,https://coinmarketcap.com/currencies/isiscoin/
ELIX,2017 December 03 ,https://coinmarketcap.com/currencies/elixir/
LUX,2015 April 26 ,https://coinmarketcap.com/currencies/bitlux/
MRT,2017 August 06 ,https://coinmarketcap.com/currencies/miners-reward-token/
FEI,2017 August 06 ,https://coinmarketcap.com/currencies/fuda-energy/
POLL,2017 December 03 ,https://coinmarketcap.com/currencies/clearpoll/
FCT,2015 December 06 ,https://coinmarketcap.com/currencies/factom/
